"routeno","route_name","route_address","Starting","Destination","TotalStops","TravelTime","Distance","FirstBusFromStartingPoint","LastBusFromStartingPoint","FirstBusFromFromDestination","LastBusFromDestination"
"382-ltd","Anushakti Nagar to Sahar Cargo Complex Route Map","https://www.mumbai77.com/bus-routes/bus-no-382-ltd","Anushakti Nagar","Sahar Cargo Complex","53","1 Hour 17 Minutes","26.1","06:25","20:55","06:00","22:25"
"383","Gadkari Quarry to Shivaji Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-383","Gadkari Quarry","Shivaji Nagar Depot","26","1 Hour 4 Minutes","11.6","05:35","22:35","06:20","21:38"
"384","Santacruz Depot to Ghatkopar Depot Caseurina Route Map","https://www.mumbai77.com/bus-routes/bus-no-384","Santacruz Depot","Ghatkopar Depot Caseurina","41","1 Hour 19 Minutes","16.3","05:25","17:26","09:25","22:30"
"385","Tardeo Bus Station Rushi Mehta Chowk to Ghatkopar Depot Caseurina Route Map","https://www.mumbai77.com/bus-routes/bus-no-385","Tardeo Bus Station Rushi Mehta Chowk","Ghatkopar Depot Caseurina","46","1 Hour 10 Minutes","23.8","08:20","21:10","07:00","18:50"
"386","Ghatkopar Station West to Nagbaba Mandir Dynalog Company Route Map","https://www.mumbai77.com/bus-routes/bus-no-386","Ghatkopar Station West","Nagbaba Mandir Dynalog Company","13","34 Minutes","4","06:08","23:01","06:26","23:25"
"387","Ghatkopar Station West to Vikhroli Park Site Route Map","https://www.mumbai77.com/bus-routes/bus-no-387","Ghatkopar Station West","Vikhroli Park Site","11","24 Minutes","3.6","07:44","24:55","07:25","25:05"
"388-ltd","Kannamwar Nagar 2 to Seepz Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-388-ltd","Kannamwar Nagar 2","Seepz Bus Station","39","1 Hour","16.9","06:15","21:50","07:20","22:35"
"389","Ghatkopar Station West Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-389","Ghatkopar Station West","Ghatkopar Station West","14","45 Minutes","4.7","05:45","24:15","Ghatkopar Station Wes","Sarvodaya Hospita"
"39","Com P K Kurne Chowk to Seepz Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-39","Com P K Kurne Chowk","Seepz Bus Station","43","1 Hour 38 Minutes","19.4","06:10","22:45","05:20","21:15"
"391","Mulund Station West to Khindi Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-391","Mulund Station West","Khindi Pada","17","41 Minutes","4.4","04:50","01:00","04:30","00:40"
"392","Vikhroli Depot to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-392","Vikhroli Depot","Majas Depot Shyam Nagar","57","56 Minutes","21","09:23","23:21","Time Not Available","Time Not Available"
"393","Ghatkopar Depot Caseurina to Amchi School Route Map","https://www.mumbai77.com/bus-routes/bus-no-393","Ghatkopar Depot Caseurina","Amchi School","16","30 Minutes","5.8","06:53","12:45","06:30","13:06"
"394","Vikhroli Station East to Kannamwar Nagar 2 Route Map","https://www.mumbai77.com/bus-routes/bus-no-394","Vikhroli Station East","Kannamwar Nagar 2","6","23 Minutes","1.9","06:24","23:39","Vikhroli Station Eas","Kannamwar Naga"
"395","Santacruz Station East to Bamandaya Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-395","Santacruz Station East","Bamandaya Pada","30","57 Minutes","13.3","07:00","21:40","07:50","21:40"
"396-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall to Agarkar Chowk Route Map","https://www.mumbai77.com/bus-routes/bus-no-396-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","Agarkar Chowk","51","1 Hour 13 Minutes","21.3","05:25","23:25","06:25","00:35"
"397","Vikhroli Station East to Kannamwar Nagar Building 124 Route Map","https://www.mumbai77.com/bus-routes/bus-no-397","Vikhroli Station East","Kannamwar Nagar Building 124","8","9 Minutes","2.3","06:05","23:35","Time Not Available","Time Not Available"
"398-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall to Dindoshi Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-398-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","Dindoshi Bus Station","55","1 Hour 48 Minutes","25.7","06:00","21:31","04:55","23:30"
"399-ltd","Trombay to Marathon Chowk Teen Hath Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-399-ltd","Trombay","Marathon Chowk Teen Hath Naka","59","1 Hour 30 Minutes","27.1","04:45","20:35","05:45","19:13"
"4-ltd","Hutatma Chowk to Goregaon Oshiwara Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-4-ltd","Hutatma Chowk","Goregaon Oshiwara Depot","41","1 Hour 22 Minutes","27.7","07:30","22:50","07:00","22:52"
"40-ltd","P Thakre Udyan Bus Station Sewree to Borivali Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-40-ltd","P Thakre Udyan Bus Station Sewree","Borivali Station East","52","1 Hour 2 Minutes","31.9","06:05","08:15","05:55","10:00"
"402","Mulund Station West to Vaishali Nagar Mulund Route Map","https://www.mumbai77.com/bus-routes/bus-no-402","Mulund Station West","Vaishali Nagar Mulund","12","36 Minutes","3","06:07","00:15","06:22","00:00"
"403-ltd","Mhada Bus Station Mulund E to Agarkar Chowk Route Map","https://www.mumbai77.com/bus-routes/bus-no-403-ltd","Mhada Bus Station Mulund E","Agarkar Chowk","53","1 Hour 18 Minutes","21.5","06:30","21:15","07:35","21:35"
"404","Ghatkopar Station East to Shivaji Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-404","Ghatkopar Station East","Shivaji Nagar Depot","16","46 Minutes","4.9","06:20","22:30","06:45","21:58"
"405","Mulund Station West to Yogi Hills Route Map","https://www.mumbai77.com/bus-routes/bus-no-405","Mulund Station West","Yogi Hills","12","33 Minutes","3.5","06:20","21:12","06:00","21:35"
"407","Kelkar College to Nimkar Society Route Map","https://www.mumbai77.com/bus-routes/bus-no-407","Kelkar College","Nimkar Society","23","39 Minutes","7.1","07:03","20:40","Time Not Available","Time Not Available"
"408","Mahim Bus Station to Mulund Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-408","Mahim Bus Station","Mulund Station West","63","1 Hour 2 Minutes","23.2","07:25","21:10","06:10","19:56"
"409-ltd","Mulund Depot to Sahar Cargo Complex Route Map","https://www.mumbai77.com/bus-routes/bus-no-409-ltd","Mulund Depot","Sahar Cargo Complex","60","1 Hour 11 Minutes","22","05:25","22:20","06:20","23:40"
"41","Ferry Wharf to Kamla Nehru Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-41","Ferry Wharf","Kamla Nehru Park","44","1 Hour 11 Minutes","13.7","06:55","09:37","07:45","10:40"
"410","Vikhroli Depot to Kondivte Caves Mahakali Caves Route Map","https://www.mumbai77.com/bus-routes/bus-no-410","Vikhroli Depot","Kondivte Caves Mahakali Caves","40","1 Hour 6 Minutes","14.5","06:58","22:00","06:05","20:09"
"411","Wadala Depot to Sangharsh Nagar Chandivali Route Map","https://www.mumbai77.com/bus-routes/bus-no-411","Wadala Depot","Sangharsh Nagar Chandivali","37","1 Hour 26 Minutes","15.1","06:57","22:05","06:00","20:17"
"412","Mulund Station West to Ghati Pada Mulund Route Map","https://www.mumbai77.com/bus-routes/bus-no-412","Mulund Station West","Ghati Pada Mulund","13","42 Minutes","3.5","06:48","22:40","06:30","22:55"
"413","Kunchi Kurve Nagar to Santacruz Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-413","Kunchi Kurve Nagar","Santacruz Station East","10","19 Minutes","2.8","06:50","21:00","07:05","21:20"
"414-ltd","Mumbai Central Depot to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-414-ltd","Mumbai Central Depot","Majas Depot Shyam Nagar","41","1 Hour 5 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"415","Agarkar Chowk to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-415","Agarkar Chowk","Majas Depot Shyam Nagar","18","40 Minutes","6.8","06:00","22:08","06:10","22:00"
"416","Ghatkopar Station West to Amrut Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-416","Ghatkopar Station West","Amrut Nagar","10","30 Minutes","2.6","05:30","00:25","05:45","00:40"
"417","Vikhroli Park Site to Surya Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-417","Vikhroli Park Site","Surya Nagar","11","30 Minutes","4","06:49","22:26","06:25","22:44"
"418","Vikhroli Station West to Nagbaba Mandir Dynalog Company Route Map","https://www.mumbai77.com/bus-routes/bus-no-418","Vikhroli Station West","Nagbaba Mandir Dynalog Company","10","34 Minutes","3.2","08:21","20:01","08:00","19:36"
"419","Ghatkopar Depot Caseurina to Sangharsh Nagar Chandivali Route Map","https://www.mumbai77.com/bus-routes/bus-no-419","Ghatkopar Depot Caseurina","Sangharsh Nagar Chandivali","31","56 Minutes","9.9","06:00","21:10","06:30","21:50"
"42","Kamla Nehru Park Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-42","Kamla Nehru Park","Kamla Nehru Park","54","More than 1 Hour","15.3","07:36","20:44","Kamla Nehru Par","Sahyadri Guest House Walkeshwa"
"421","Ghatkopar Depot Caseurina to Filter Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-421","Ghatkopar Depot Caseurina","Filter Pada","30","59 Minutes","10.4","05:35","22:30","06:05","21:15"
"421-bus2","Ghatkopar Depot Caseurina Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-421-bus2","Ghatkopar Depot Caseurina","Ghatkopar Depot Caseurina","41","55 Minutes","13.8","06:20","20:55","Ghatkopar Depot Caseurin","Laxmi Naga"
"422","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall to BANDRA BUS STATION WEST Route Map","https://www.mumbai77.com/bus-routes/bus-no-422","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","BANDRA BUS STATION WEST","69","1 Hour 13 Minutes","28.8","04:40","22:10","05:45","20:05"
"424","Mulund Station West to Goregaon Oshiwara Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-424","Mulund Station West","Goregaon Oshiwara Depot","61","1 Hour 47 Minutes","25.9","05:30","21:55","06:30","19:56"
"425","Shivaji Talao to Seven Bungalows Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-425","Shivaji Talao","Seven Bungalows Bus Station","48","1 Hour 37 Minutes","19.1","06:15","23:00","06:00","22:40"
"426","Vidya Vihar Bus Station West to Filter Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-426","Vidya Vihar Bus Station West","Filter Pada","24","58 Minutes","9.3","06:00","21:30","06:40","22:15"
"428","Shivaji Talao to Satbhakti Mandir Route Map","https://www.mumbai77.com/bus-routes/bus-no-428","Shivaji Talao","Satbhakti Mandir","39","1 Hour 20 Minutes","13.8","07:00","21:35","06:50","20:35"
"429","Ghatkopar Station West to Milind Nagar Ghatkopar Route Map","https://www.mumbai77.com/bus-routes/bus-no-429","Ghatkopar Station West","Milind Nagar Ghatkopar","9","16 Minutes","3","07:00","21:45","06:35","22:05"
"43","Maharana Pratap Chowk Mazgaon to Pratiksha Nagar Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-43","Maharana Pratap Chowk Mazgaon","Pratiksha Nagar Depot","36","45 Minutes","14.3","06:00","20:10","07:00","19:00"
"43-ltd","Worli Depot Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-43-ltd","Worli Depot","Worli Depot","17","1 Hour 20 Minutes","NA","Time Not Available","Time Not Available","Worli Depo","Municipal Colony Worl"
"430","Mahul Village to Ghatkopar Depot Caseurina Route Map","https://www.mumbai77.com/bus-routes/bus-no-430","Mahul Village","Ghatkopar Depot Caseurina","31","1 Hour 27 Minutes","12.7","05:55","21:35","06:30","20:40"
"431","Kurla Bus Station East to Tata Power Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-431","Kurla Bus Station East","Tata Power Station","19","42 Minutes","7.4","06:10","19:50","06:15","20:35"
"433","Vidya Vihar Bus Station West to Santacruz Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-433","Vidya Vihar Bus Station West","Santacruz Station East","23","40 Minutes","7.8","06:10","23:10","06:00","22:25"
"434","Agarkar Chowk to Bamandaya Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-434","Agarkar Chowk","Bamandaya Pada","19","41 Minutes","6.4","05:45","22:30","05:50","22:13"
"435","Agarkar Chowk Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-435","Agarkar Chowk","Agarkar Chowk","19","18 Minutes","7.4","07:15","21:30","Agarkar Chow","Vijay Nagar Society Andher"
"436","Goregaon Station East Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-436","Goregaon Station East","Goregaon Station East","32","Unknown","9.5","06:25","22:00","Goregaon Station Eas","Peru Bau"
"44","Colaba Depot to Worli Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-44","Colaba Depot","Worli Village","41","43 Minutes","14.3","07:13","22:15","06:05","22:12"
"440-ltd","Wadala Depot to Borivali Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-440-ltd","Wadala Depot","Borivali Station East","33","52 Minutes","28.4","08:15","20:30","07:00","18:54"
"441","Agarkar Chowk to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-441","Agarkar Chowk","Majas Depot Shyam Nagar","21","40 Minutes","5.6","06:14","23:00","05:50","22:21"
"442","Satbhakti Mandir to Mhada Colony Majas Route Map","https://www.mumbai77.com/bus-routes/bus-no-442","Satbhakti Mandir","Mhada Colony Majas","17","18 Minutes","4.5","06:16","22:05","06:36","22:30"
"443","Agarkar Chowk to Bamandaya Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-443","Agarkar Chowk","Bamandaya Pada","18","41 Minutes","6.4","06:00","23:00","05:45","22:40"
"444-ltd","Ghatkopar Depot Caseurina to Goregaon Oshiwara Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-444-ltd","Ghatkopar Depot Caseurina","Goregaon Oshiwara Depot","40","1 Hour 36 Minutes","17.1","09:55","20:50","08:15","18:48"
"446","Kurla Station West to Bamandaya Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-446","Kurla Station West","Bamandaya Pada","23","58 Minutes","8.2","06:35","21:15","06:35","22:05"
"448-ltd","Pratiksha Nagar Depot to Borivali Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-448-ltd","Pratiksha Nagar Depot","Borivali Station East","40","1 Hour 26 Minutes","29.5","08:18","20:05","06:50","18:15"
"449-ltd","Dharavi Depot to Kandivali Bus Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-449-ltd","Dharavi Depot","Kandivali Bus Station East","49","1 Hour 22 Minutes","25.6","09:45","19:50","08:00","17:55"
"45","Mantralaya to Anik Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-45","Mantralaya","Anik Depot","54","1 Hour 5 Minutes","22.5","08:15","20:10","07:00","18:14"
"451","Goregaon Station East to Adarsh Nagar Goregaon Route Map","https://www.mumbai77.com/bus-routes/bus-no-451","Goregaon Station East","Adarsh Nagar Goregaon","13","21 Minutes","5","05:50","24:35","05:30","00:10"
"452","Goregaon Station East to Mayur Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-452","Goregaon Station East","Mayur Nagar","11","37 Minutes","4.8","05:30","01:00","05:15","00:45"
"453-ltd","Wadala Depot to Lokmanya Nagar Thane Route Map","https://www.mumbai77.com/bus-routes/bus-no-453-ltd","Wadala Depot","Lokmanya Nagar Thane","73","1 Hour 29 Minutes","33","08:15","20:35","06:40","18:31"
"454","Seven Bungalows Bus Station to Shiv Shai Prakalp Mantri Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-454","Seven Bungalows Bus Station","Shiv Shai Prakalp Mantri Park","33","1 Hour 16 Minutes","13.7","07:30","21:15","06:30","19:55"
"456","Malvani Depot Gaikwad Nagar Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-456","Malvani Depot Gaikwad Nagar","Malvani Depot Gaikwad Nagar","83","50 Minutes","27.8","08:08","19:30","Malvani Depot Gaikwad Naga","Gurudwar Malvan"
"457","Seepz Bus Station to Malad Bus Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-457","Seepz Bus Station","Malad Bus Depot","31","2 Hours 46 Minutes","11.6","06:30","07:52","19:30","21:25"
"458-ltd","Malad Bus Depot to Marathon Chowk Teen Hath Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-458-ltd","Malad Bus Depot","Marathon Chowk Teen Hath Naka","55","1 Hour 51 Minutes","24.7","05:45","20:15","06:50","18:05"
"459-ltd","Mulund Station West to Malvani Depot Gaikwad Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-459-ltd","Mulund Station West","Malvani Depot Gaikwad Nagar","64","2 Hour 1 Minute","27.3","05:30","21:00","06:40","18:52"
"46","Ferry Wharf to Dharavi Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-46","Ferry Wharf","Dharavi Depot","41","55 Minutes","16","04:55","08:50","05:30","07:48"
"460-ltd","Mulund Station West to Gorai Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-460-ltd","Mulund Station West","Gorai Depot","73","1 Hour 39 Minutes","34.3","07:30","21:10","05:55","19:15"
"461-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall to P Thakre Nagar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-461-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","P Thakre Nagar Bus Station","69","1 Hour 49 Minutes","32.1","04:40","21:35","06:00","19:25"
"461-ltd-bus2","Marol Depot to P Thakre Nagar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-461-ltd-bus2","Marol Depot","P Thakre Nagar Bus Station","46","53 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"462","Borivali Station East to Vaishali Nagar Dahisar Route Map","https://www.mumbai77.com/bus-routes/bus-no-462","Borivali Station East","Vaishali Nagar Dahisar","13","29 Minutes","3.9","05:25","00:10","05:40","23:39"
"463","Worli Depot to S R A Colony Washi Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-463","Worli Depot","S R A Colony Washi Naka","47","1 Hour 7 Minutes","19.4","07:45","21:00","06:20","19:28"
"469-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall to Goregaon Oshiwara Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-469-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","Goregaon Oshiwara Depot","56","2 Hour 3 Minutes","25.1","06:00","19:00","07:35","17:09"
"470-ltd","Ghatkopar Depot Caseurina to Borivali Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-470-ltd","Ghatkopar Depot Caseurina","Borivali Station East","45","1 Hour 36 Minutes","23.6","05:20","23:00","06:20","21:20"
"473","Bandra Bus Station West to Mahul Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-473","Bandra Bus Station West","Mahul Village","26","1 Hour 47 Minutes","14.1","05:50","21:25","06:45","20:17"
"477","Borivali Station East to Rushi Van Borivali Route Map","https://www.mumbai77.com/bus-routes/bus-no-477","Borivali Station East","Rushi Van Borivali","9","24 Minutes","2.6","06:00","24:10","05:45","00:25"
"478-ltd","Vikhroli Depot to Borivali Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-478-ltd","Vikhroli Depot","Borivali Station East","50","1 Hour 14 Minutes","26.8","08:00","22:50","06:30","21:05"
"479","Damu Nagar Bus Station Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-479","Damu Nagar Bus Station","Damu Nagar Bus Station","41","2 Hour 25 Minutes","NA","Time Not Available","Time Not Available","Damu Nagar Bus Statio","Ramgad Anita Nagar Kandival"
"48","Ferry Wharf to August Kranti Maidan Route Map","https://www.mumbai77.com/bus-routes/bus-no-48","Ferry Wharf","August Kranti Maidan","20","42 Minutes","7.2","07:15","20:55","06:45","21:10"
"481","Ghatkopar Depot Caseurina to S R A Colony Washi Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-481","Ghatkopar Depot Caseurina","S R A Colony Washi Naka","25","1 Hour 35 Minutes","10.3","06:20","21:00","07:00","21:40"
"483","Dr Ambedkar Garden to Tagore Nagar No 5 Route Map","https://www.mumbai77.com/bus-routes/bus-no-483","Dr Ambedkar Garden","Tagore Nagar No 5","28","1 Hour 44 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"484-ltd","Mhada Bus Station Mulund E to Pawar Nagar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-484-ltd","Mhada Bus Station Mulund E","Pawar Nagar Bus Station","35","54 Minutes","13.4","06:10","21:35","06:30","22:25"
"485-ltd","Ghatkopar Depot Caseurina to Malad Bus Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-485-ltd","Ghatkopar Depot Caseurina","Malad Bus Depot","51","1 Hour 13 Minutes","20.8","07:50","20:40","06:30","18:30"
"487-ltd","Ghatkopar Depot Caseurina to Brahmand Azad Nagar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-487-ltd","Ghatkopar Depot Caseurina","Brahmand Azad Nagar Bus Station","33","1 Hour 32 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"488-ltd","Shivaji Nagar Depot to Dindoshi Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-488-ltd","Shivaji Nagar Depot","Dindoshi Bus Station","43","1 Hour 41 Minutes","23.2","05:25","22:10","06:40","20:15"
"489-ltd","Shivaji Nagar Depot to Dahisar Bridge Route Map","https://www.mumbai77.com/bus-routes/bus-no-489-ltd","Shivaji Nagar Depot","Dahisar Bridge","69","1 Hour 49 Minutes","36.4","05:20","22:00","06:45","19:45"
"49","Swami D Saraswati Chowk Fort to Nadkarni Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-49","Swami D Saraswati Chowk Fort","Nadkarni Park","25","27 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"491-ltd","Seepz Bus Station to Brahmand Azad Nagar Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-491-ltd","Seepz Bus Station","Brahmand Azad Nagar Bus Station","66","1 Hour 45 Minutes","34.9","08:05","21:05","06:30","19:45"
"492-ltd","Seepz Bus Station to Wagh Bill Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-492-ltd","Seepz Bus Station","Wagh Bill Village","49","1 Hour 56 Minutes","27.8","06:19","20:50","06:45","20:18"
"493-ltd","Anushakti Nagar to Dadlani Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-493-ltd","Anushakti Nagar","Dadlani Park","49","1 Hour 51 Minutes","29","07:00","20:30","06:50","20:30"
"494-ltd","Ghatkopar Depot Caseurina to Reti Bunder Kharigaon Route Map","https://www.mumbai77.com/bus-routes/bus-no-494-ltd","Ghatkopar Depot Caseurina","Reti Bunder Kharigaon","47","1 Hour 16 Minutes","20.8","07:50","21:30","06:45","19:56"
"495-ltd","Gawanpada Fire Brigade Mulund East to Thane Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-495-ltd","Gawanpada Fire Brigade Mulund East","Thane Station East","21","40 Minutes","5.5","06:00","21:05","06:20","21:35"
"496-ltd","Agarkar Chowk to Marathon Chowk Teen Hath Naka Route Map","https://www.mumbai77.com/bus-routes/bus-no-496-ltd","Agarkar Chowk","Marathon Chowk Teen Hath Naka","40","1 Hour 29 Minutes","19.4","06:00","21:38","06:55","23:00"
"497-ltd","Ghatkopar Depot Caseurina to Lokmanya Nagar Thane Route Map","https://www.mumbai77.com/bus-routes/bus-no-497-ltd","Ghatkopar Depot Caseurina","Lokmanya Nagar Thane","50","1 Hour 22 Minutes","17.9","04:50","22:10","05:50","20:38"
"498-ltd","Sangharsh Nagar Chandivali to Borivali Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-498-ltd","Sangharsh Nagar Chandivali","Borivali Station East","50","1 Hour 37 Minutes","20.3","Time Not Available","Time Not Available","06:00","20:12"
"499-ltd","Ghatkopar Depot Caseurina to Vrindavan Society Route Map","https://www.mumbai77.com/bus-routes/bus-no-499-ltd","Ghatkopar Depot Caseurina","Vrindavan Society","37","1 Hour 15 Minutes","17","05:20","20:13","06:10","18:43"
"5","Mantralaya to Kurla Bus Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-5","Mantralaya","Kurla Bus Station East","44","1 Hour","19.6","06:15","19:30","07:25","21:20"
"50","Ferry Wharf to Worli Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-50","Ferry Wharf","Worli Depot","35","58 Minutes","14.7","07:20","21:35","06:30","20:25"
"500-ltd","Vikhroli Depot to Airoli Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-500-ltd","Vikhroli Depot","Airoli Bus Station","34","2 Hour 36 Minutes","14.5","07:28","21:15","06:30","20:04"
"501-ltd","Kurla Bus Station East to Vashi Railway Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-501-ltd","Kurla Bus Station East","Vashi Railway Station","55","26 Minutes","27.5","04:20","00:15","05:35","00:00"
"502-ltd","Tata Power Station to Nerul Sector 4648 Route Map","https://www.mumbai77.com/bus-routes/bus-no-502-ltd","Tata Power Station","Nerul Sector 4648","61","2 Hours 13 Minutes","28.7","21:45","23:15","20:41","22:06"
"504-ltd","Wadala Depot to Jalvayu Vihar Kharghar Route Map","https://www.mumbai77.com/bus-routes/bus-no-504-ltd","Wadala Depot","Jalvayu Vihar Kharghar","57","1 Hour 37 Minutes","35.6","05:05","22:00","05:35","19:59"
"505-ltd","Bandra Bus Station West to C B D Belapur Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-505-ltd","Bandra Bus Station West","C B D Belapur Bus Station","42","1 Hour 12 Minutes","31.5","07:16","00:05","05:52","22:18"
"506-ltd","Jijamata Udyan to Nerul Railway Station North Route Map","https://www.mumbai77.com/bus-routes/bus-no-506-ltd","Jijamata Udyan","Nerul Railway Station North","54","1 Hour 10 Minutes","33.2","05:15","21:55","05:35","20:30"
"506-ltd-bus2","Jijamata Udyan to Ghansoli Village Route Map","https://www.mumbai77.com/bus-routes/bus-no-506-ltd-bus2","Jijamata Udyan","Ghansoli Village","54","1 Hour 31 Minutes","33.2","05:15","21:55","05:35","20:30"
"507-ltd","Santacruz Station East to Nerul Sector 4648 Route Map","https://www.mumbai77.com/bus-routes/bus-no-507-ltd","Santacruz Station East","Nerul Sector 4648","41","1 Hour 32 Minutes","33.2","05:30","21:30","05:10","23:08"
"509-ltd","Ghatkopar Depot Caseurina to Sector No 19 Vashi Route Map","https://www.mumbai77.com/bus-routes/bus-no-509-ltd","Ghatkopar Depot Caseurina","Sector No 19 Vashi","54","46 Minutes","27.1","06:30","20:00","19:04","18:28"
"51","Colaba Bus Station to Santacruz Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-51","Colaba Bus Station","Santacruz Depot","54","1 Hour 32 Minutes","25.3","06:30","09:20","05:15","11:35"
"510-ltd","Barve Nagar Municipal School No 3 to M I D C Electronic Sadan Route Map","https://www.mumbai77.com/bus-routes/bus-no-510-ltd","Barve Nagar Municipal School No 3","M I D C Electronic Sadan","45","1 Hour 42 Minutes","27.8","07:50","18:40","09:08","20:20"
"511-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall to Nerul Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-511-ltd","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","Nerul Bus Station","50","1 Hour 12 Minutes","34.5","05:00","23:05","04:45","22:45"
