"routeno","route_name","route_address","Starting","Destination","TotalStops","TravelTime","Distance","FirstBusFromStartingPoint","LastBusFromStartingPoint","FirstBusFromFromDestination","LastBusFromDestination"
"301","Borivali Station East to Hanuman Tekdi Chogle Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-301","Borivali Station East","Hanuman Tekdi Chogle Nagar","10","19 Minutes","3","06:00","23:20","05:45","23:35"
"302","Pratiksha Nagar Depot to M P Chowk Mulund Mulund West Check Naka Bus Station R Mall Route Map","https://www.mumbai77.com/bus-routes/bus-no-302","Pratiksha Nagar Depot","M P Chowk Mulund Mulund West Check Naka Bus Station R Mall","66","1 Hour 8 Minutes","25.6","07:50","23:45","06:15","22:00"
"303","Bandra Railway Terminus to Mhada Bus Station Mulund East Route Map","https://www.mumbai77.com/bus-routes/bus-no-303","Bandra Railway Terminus","Mhada Bus Station Mulund East","70","1 Hour 21 Minutes","25.3","06:00","19:10","06:25","21:27"
"305","Tardeo Bus Station Rushi Mehta Chowk to Ghatkopar Depot Caseurina Route Map","https://www.mumbai77.com/bus-routes/bus-no-305","Tardeo Bus Station Rushi Mehta Chowk","Ghatkopar Depot Caseurina","52","1 Hour 14 Minutes","22.9","06:25","20:40","07:35","19:10"
"306-ltd","Santacruz Station East to Mulund Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-306-ltd","Santacruz Station East","Mulund Station West","53","1 Hour 17 Minutes","21.1","06:40","20:25","06:40","18:52"
"306-ltd-bus2","Santacruz Station East to Mulund Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-306-ltd-bus2","Santacruz Station East","Mulund Station West","53","1 Hour 5 Minutes","21.1","06:40","20:25","06:40","18:52"
"307","Vaishali Nagar Mulund to Marol Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-307","Vaishali Nagar Mulund","Marol Depot","50","1 Hour 14 Minutes","18.3","10:07","24:45","04:55","17:12"
"308","Vidya Vihar Bus Station West to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-308","Vidya Vihar Bus Station West","Majas Depot Shyam Nagar","46","1 Hour 5 Minutes","16.6","05:10","22:10","06:15","20:18"
"308-bus2","Vidya Vihar Bus Station West to Sahar Cargo Complex Route Map","https://www.mumbai77.com/bus-routes/bus-no-308-bus2","Vidya Vihar Bus Station West","Sahar Cargo Complex","46","55 Minutes","16.6","05:10","22:10","06:15","20:18"
"309-ltd","Kurla Station West to Gorai Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-309-ltd","Kurla Station West","Gorai Depot","49","1 Hour 18 Minutes","26.2","08:20","21:00","06:45","18:39"
"310","Kurla Station West to Bandra Railway Terminus Route Map","https://www.mumbai77.com/bus-routes/bus-no-310","Kurla Station West","Bandra Railway Terminus","20","39 Minutes","7","07:05","00:20","07:33","00:50"
"311","Santacruz Station East to Air India Quarters Route Map","https://www.mumbai77.com/bus-routes/bus-no-311","Santacruz Station East","Air India Quarters","9","19 Minutes","2.8","05:10","00:05","05:25","01:20"
"312","Pratiksha Nagar Depot to Seepz Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-312","Pratiksha Nagar Depot","Seepz Bus Station","52","1 Hour 16 Minutes","21.9","04:50","22:50","06:05","20:44"
"313","Kurla Station West to Santacruz Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-313","Kurla Station West","Santacruz Station East","18","36 Minutes","5.3","06:10","23:55","06:22","23:10"
"313-bus2","Kurla Station West to Santacruz Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-313-bus2","Kurla Station West","Santacruz Station East","18","32 Minutes","5.3","06:10","23:39","06:22","23:10"
"315","Pratiksha Nagar Depot to Santacruz Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-315","Pratiksha Nagar Depot","Santacruz Station East","38","43 Minutes","16.3","20:07","Time Not Available","20:07","Time Not Available"
"316","Bandra Railway Terminus to Bandra Colony Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-316","Bandra Railway Terminus","Bandra Colony Bus Station","9","30 Minutes","2.6","06:15","22:10","06:35","22:35"
"317","Bandra Railway Terminus to Tata Colony Bandra Route Map","https://www.mumbai77.com/bus-routes/bus-no-317","Bandra Railway Terminus","Tata Colony Bandra","14","40 Minutes","4.3","05:45","23:55","05:20","00:15"
"318","Kurla Station West to Santacruz Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-318","Kurla Station West","Santacruz Station East","18","36 Minutes","5.8","08:00","20:00","07:35","19:05"
"319","Agarkar Chowk to Mhada Colony Chandivali Route Map","https://www.mumbai77.com/bus-routes/bus-no-319","Agarkar Chowk","Mhada Colony Chandivali","20","48 Minutes","6.8","06:30","23:25","06:05","23:05"
"32","Goregaon Bus Station West Ring Route Map","https://www.mumbai77.com/bus-routes/bus-no-32","Goregaon Bus Station West","Goregaon Bus Station West","44","39 Minutes","19.7","06:30","22:00","Goregaon Bus Station Wes","Jain Mandir Goregao"
"320","Kurla Station West to Filter Pada Route Map","https://www.mumbai77.com/bus-routes/bus-no-320","Kurla Station West","Filter Pada","24","1 Hour 1 Minute","10","04:55","00:00","04:55","00:30"
"321-ltd","Mahim Bus Station to Barve Nagar Municipal School No 3 Route Map","https://www.mumbai77.com/bus-routes/bus-no-321-ltd","Mahim Bus Station","Barve Nagar Municipal School No 3","43","1 Hour 20 Minutes","21.4","05:15","22:05","05:55","22:20"
"322","Vidya Vihar Bus Station West to Mahant Road Route Map","https://www.mumbai77.com/bus-routes/bus-no-322","Vidya Vihar Bus Station West","Mahant Road","38","52 Minutes","14","05:35","20:20","05:55","21:25"
"323","Vidya Vihar Bus Station West to Sangharsh Nagar Chandivali Route Map","https://www.mumbai77.com/bus-routes/bus-no-323","Vidya Vihar Bus Station West","Sangharsh Nagar Chandivali","22","57 Minutes","7.4","06:50","21:55","06:15","22:30"
"324","Worli Depot to Marol Maroshi Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-324","Worli Depot","Marol Maroshi Bus Station","45","1 Hour 14 Minutes","20.1","07:15","20:05","06:00","19:02"
"325","Kurla Station West to Ghatkopar Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-325","Kurla Station West","Ghatkopar Station West","26","20 Minutes","9.8","05:10","22:17","06:00","23:20"
"326","Kurla Station West to Shiv Shai Prakalp Mantri Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-326","Kurla Station West","Shiv Shai Prakalp Mantri Park","43","1 Hour 30 Minutes","18.9","07:50","22:30","06:30","20:45"
"327","Goregaon Station East to Shiv Shai Prakalp Mantri Park Route Map","https://www.mumbai77.com/bus-routes/bus-no-327","Goregaon Station East","Shiv Shai Prakalp Mantri Park","15","32 Minutes","5.5","06:15","22:40","05:50","23:05"
"328","Bamandaya Pada to Vesave Yari Road Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-328","Bamandaya Pada","Vesave Yari Road Bus Station","34","1 Hour 16 Minutes","12.6","06:45","21:00","06:30","22:00"
"329","Shivaji Nagar Depot to Agarkar Chowk Route Map","https://www.mumbai77.com/bus-routes/bus-no-329","Shivaji Nagar Depot","Agarkar Chowk","49","1 Hour 18 Minutes","20.2","05:45","21:00","06:55","18:53"
"33","Pt Paluskar Chowk to Goregaon Bus Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-33","Pt Paluskar Chowk","Goregaon Bus Station West","66","1 Hour 23 Minutes","28.6","07:30","23:10","06:20","21:15"
"330-ltd","Kurla Station West to Seven Bungalows Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-330-ltd","Kurla Station West","Seven Bungalows Bus Station","45","1 Hour 9 Minutes","17.7","06:00","20:50","06:30","21:15"
"331","Ghatkopar Station West to Sahar Cargo Complex Route Map","https://www.mumbai77.com/bus-routes/bus-no-331","Ghatkopar Station West","Sahar Cargo Complex","21","55 Minutes","9.2","06:00","23:00","06:30","23:30"
"332","Kurla Station West to Majas Depot Shyam Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-332","Kurla Station West","Majas Depot Shyam Nagar","38","1 Hour 11 Minutes","15.6","07:05","21:50","07:45","22:45"
"333","New Quarters Chakal Cig Factory to Kondivte Caves Mahakali Caves Route Map","https://www.mumbai77.com/bus-routes/bus-no-333","New Quarters Chakal Cig Factory","Kondivte Caves Mahakali Caves","17","34 Minutes","7.3","05:15","00:00","07:20","00:25"
"334","Ghatkopar Station West to Marol Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-334","Ghatkopar Station West","Marol Depot","24","41 Minutes","8.8","06:45","21:25","06:10","20:11"
"335","Agarkar Chowk to Sangharsh Nagar Chandivali Route Map","https://www.mumbai77.com/bus-routes/bus-no-335","Agarkar Chowk","Sangharsh Nagar Chandivali","24","53 Minutes","7.5","10:06","24:20","09:02","00:15"
